City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Pangody,RU,2021-03-27 18:26:57,65.85,74.4859,-4.47,98,74,9.69
268,Falam,MM,2021-03-27 18:30:13,22.9167,93.6833,58.82,24,26,4.05
269,Strassen,LU,2021-03-27 18:30:13,49.6206,6.0733,43.0,87,75,5.75
270,Grand Gaube,MU,2021-03-27 18:30:13,-20.0064,57.6608,78.01,84,100,6.04
271,Emerald,AU,2021-03-27 18:30:14,-23.5333,148.1667,69.8,88,12,6.89
272,Maceio,BR,2021-03-27 18:30:14,-9.6658,-35.7353,75.2,94,75,3.44
273,Bahia Blanca,AR,2021-03-27 18:30:09,-38.7196,-62.2724,68.61,43,0,14.56
274,Yulara,AU,2021-03-27 18:26:04,-25.2406,130.9889,73.4,78,100,5.75
275,Marion,US,2021-03-27 18:26:17,39.7684,-86.1555,70.0,49,20,11.5
276,Port Hedland,AU,2021-03-27 18:26:51,-20.3167,118.5667,78.8,94,12,5.75
277,Huarmey,PE,2021-03-27 18:30:15,-10.0681,-78.1522,74.98,73,65,8.93
278,Huejucar,MX,2021-03-27 18:30:15,22.35,-103.2167,82.65,4,40,12.95
279,Piacabucu,BR,2021-03-27 18:30:16,-10.4056,-36.4344,81.09,71,65,11.45
280,Bull Savanna,JM,2021-03-27 18:30:16,17.8868,-77.5902,81.21,62,22,18.05
281,Petropavlovsk-Kamchatskiy,RU,2021-03-27 18:30:16,53.0452,158.6483,28.4,54,98,26.84
282,Hattiesburg,US,2021-03-27 18:30:17,31.3271,-89.2903,84.2,54,40,21.85
283,Tocopilla,CL,2021-03-27 18:30:17,-22.092,-70.1979,72.0,69,14,6.87
284,Dwarka,IN,2021-03-27 18:22:46,22.2394,68.9678,79.45,71,39,14.67
285,Cedar City,US,2021-03-27 18:30:18,37.6775,-113.0619,48.0,39,20,10.36
286,Talnakh,RU,2021-03-27 18:30:18,69.4865,88.3972,10.78,97,96,1.52
287,Pangnirtung,CA,2021-03-27 18:26:12,66.1451,-65.7125,-5.96,79,52,3.51
288,Kodinsk,RU,2021-03-27 18:30:19,58.6881,99.1844,21.16,97,100,3.42
289,Sorland,NO,2021-03-27 18:27:10,67.667,12.6934,39.34,89,100,30.91
290,Pringsewu,ID,2021-03-27 18:30:20,-5.3582,104.9744,73.83,96,100,2.37
