City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Rio Grande,BR,-32.035,-52.0986,66.99,96,51,9.6,light rain
323,Soligalich,RU,59.0778,42.2864,22.84,99,91,2.91,overcast clouds
324,Fuxin,CN,42.0156,121.6589,44.87,22,0,18.43,clear sky
325,Tulum,MX,20.2167,-87.4667,82.4,69,40,10.36,scattered clouds
326,Fethiye,TR,36.6217,29.1164,44.6,87,0,5.75,clear sky
327,Hasaki,JP,35.7333,140.8333,63.0,94,75,3.44,broken clouds
328,Verkhoyansk,RU,67.5447,133.385,4.89,92,100,4.25,overcast clouds
329,Pokhara,NP,28.2333,83.9833,64.98,21,1,7.31,clear sky
330,Ulaangom,MN,49.9811,92.0667,16.43,83,92,3.74,overcast clouds
331,Hamamatsu,JP,34.7,137.7333,66.99,81,10,10.0,clear sky
332,Te Anau,NZ,-45.4167,167.7167,61.68,76,80,4.97,broken clouds
333,Arona,ES,28.0996,-16.681,66.0,77,20,10.36,few clouds
334,Iracoubo,GF,5.4802,-53.2011,77.77,83,97,14.07,overcast clouds
335,Srednekolymsk,RU,67.45,153.6833,2.5,89,100,5.23,overcast clouds
336,Natal,BR,-5.795,-35.2094,80.6,78,40,4.61,scattered clouds
337,Maxixe,MZ,-23.8597,35.3472,70.29,84,3,10.27,light rain
338,Butzow,DE,53.85,11.9833,50.0,76,75,10.36,broken clouds
339,Nuuk,GL,64.1835,-51.7216,8.6,61,20,11.5,few clouds
340,Coquimbo,CL,-29.9533,-71.3436,57.2,82,0,5.75,clear sky
341,Tamandare,BR,-8.7597,-35.1047,78.58,80,97,5.61,overcast clouds
342,High Rock,BS,26.6208,-78.2833,77.0,78,7,3.44,clear sky
343,Marienburg,PL,54.0359,19.0266,45.0,68,94,11.48,light rain
344,Khani,GE,41.9563,42.9566,33.8,93,0,5.75,clear sky
